zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,variableDataType,variableDataText,variableDataIsFresh,badgeInfo,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,info2String,info3String,brokerName,hasAdditionalAttributions,isFeaturedListing,list,relaxed,hasOpenHouse,openHouseStartDate,openHouseEndDate,openHouseDescription,info6String,Unnamed: 46
2077210521,2077210521,,https://photos.zillowstatic.com/fp/0bed35ace351692692c8746afa8a00b8-p_e.jpg,true,https://www.zillow.com/homedetails/LOT-14-N-Shore-Dr-La-Pointe-WI-54850/2077210521_zpid/,FOR_SALE,Lot / Land for sale,$,"$24,900",24900,"LOT 14 N Shore Dr, La Pointe, WI 54850",LOT 14 N Shore Dr,La Pointe,WI,54850,False,,,,46.842508,-90.657247,False,PRICE_REDUCTION,"$8,000 (Jun 2)",,,ForSale,For Sale (Broker),,False,False,False,false,,,,False,False,True,false,,,,,,
7097538,7097538,,https://photos.zillowstatic.com/fp/485ae0236ad275845ba1389fa88b5525-p_e.jpg,true,https://www.zillow.com/homedetails/2546-Swan-Ln-Las-Vegas-NV-89121/7097538_zpid/,FOR_SALE,Townhouse for sale,$,"$264,900",264900,"2546 Swan Ln, Las Vegas, NV 89121",2546 Swan Ln,Las Vegas,NV,89121,False,2,2,1414,36.111801,-115.115736,False,DAYS_ON,33 days on Zillow,,ForSale,For Sale (Broker),264900,false,False,False,False,Listing provided by GLVAR,https://photos.zillowstatic.com/fp/409bf159a29b37c0d98057377e46eed4-zillow_web_48_23.jpg,Griffin Group Realty,true,False,True,False,,,,,,,
88043528,88043528,,https://photos.zillowstatic.com/fp/7e5ff99b0a3bf54696dbf4f7c93275f8-p_e.jpg,true,https://www.zillow.com/homedetails/542-Hamilton-St-Columbus-WI-53925/88043528_zpid/,FOR_SALE,House for sale,$,"$239,900",239900,"542 Hamilton St, Columbus, WI 53925",542 Hamilton St,Columbus,WI,53925,False,3,2,1808,43.334351,-89.027477,False,,,,,ForSale,For Sale (Broker),261000,False,False,False,false,,,,False,False,True,false,,,,,,
157957709,157957709,,https://photos.zillowstatic.com/fp/2930aa0caafc8017b345724647ae1155-p_e.jpg,true,https://www.zillow.com/homedetails/43571-Helmsdale-Ter-Chantilly-VA-20152/157957709_zpid/,FOR_SALE,Townhouse for sale,$,"$409,999",409999,"43571 Helmsdale Ter, Chantilly, VA 20152",43571 Helmsdale Ter,Chantilly,VA,20152,False,3,3,1537,38.91821,-77.499949,False,OPEN_HOUSE,Open: Sun. 1-3pm,,,ForSale,For Sale (Broker),,False,True,False,false,,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Samson Properties,True,False,True,false,true,2021-06-27T13:00:00,2021-06-27T15:00:00,Open House - 1:00 - 3:00 PM,,
67984107,67984107,,https://photos.zillowstatic.com/fp/6ea365bdf3a3d7536f5d5644b021be83-p_e.jpg,true,https://www.zillow.com/homedetails/923-12th-St-Monroe-WI-53566/67984107_zpid/,FOR_SALE,House for sale,$,"$139,900",139900,"923 12th St, Monroe, WI 53566",923 12th St,Monroe,WI,53566,False,2,2,1430,42.600452,-89.647354,False,3D_HOME,3D Tour,,,ForSale,For Sale (Broker),178800,False,True,False,false,,,,False,False,True,false,,,,,,
42782595,42782595,,https://photos.zillowstatic.com/fp/9a5f777174110a1de0ac1b121902e3ea-p_e.jpg,true,https://www.zillow.com/homedetails/1905-Laurel-Ave-Panama-City-FL-32405/42782595_zpid/,FOR_SALE,House for sale,$,"$129,000",129000,"1905 Laurel Ave, Panama City, FL 32405",1905 Laurel Ave,Panama City,FL,32405,False,3,2,1387,30.183208,-85.714081,False,DAYS_ON,15 days on Zillow,,ForSale,For Sale (Broker),125200,false,False,False,False,,,,false,False,True,False,,,,,,,
110335022,110335022,,https://photos.zillowstatic.com/fp/1380862ac2cc9223077b7b472f20caac-p_e.jpg,true,https://www.zillow.com/homedetails/11-E-2nd-North-St-Green-River-WY-82935/110335022_zpid/,FOR_SALE,House for sale,$,"$135,000",135000,"11 E 2nd North St, Green River, WY 82935",11 E 2nd North St,Green River,WY,82935,False,2,1,1791,41.530144,-109.466244,False,DAYS_ON,41 days on Zillow,,,ForSale,For Sale (Broker),133100,False,False,False,false,,https://photos.zillowstatic.com/fp/cfad6a9af5b90288285bbb697882449a-zillow_web_48_23.jpg,"Above Realty, LLC",True,False,True,false,,,,,,
145250778,145250778,,https://photos.zillowstatic.com/fp/bdf131ba9f9b37c91eb82dc7d6cbc436-p_e.jpg,true,https://www.zillow.com/homedetails/6600-Pryer-Ln-Norfolk-VA-23502/145250778_zpid/,FOR_SALE,Multi-family home for sale,$,"$4,500,000",4500000,"6600 Pryer Ln, Norfolk, VA 23502",6600 Pryer Ln,Norfolk,VA,23502,False,,,7200,36.85113,-76.181971,False,DAYS_ON,57 days on Zillow,,ForSale,For Sale (Broker),,false,False,False,False,,,,true,False,True,False,,,,,,,
2105450764,2105450764,,https://photos.zillowstatic.com/fp/3941fdfaeeaaf2a5f35c4bdfef9330b9-p_e.jpg,true,https://www.zillow.com/homedetails/0-Windham-Rd-Brooklyn-CT-06234/2105450764_zpid/,FOR_SALE,Lot / Land for sale,$,"$74,900",74900,"0 Windham Rd, Brooklyn, CT 06234",0 Windham Rd,Brooklyn,CT,6234,False,,,,41.767635,-71.986799,False,DAYS_ON,135 days on Zillow,,ForSale,For Sale (Broker),,false,False,False,False,,https://photos.zillowstatic.com/fp/93bf135fc9f9272035a2fae2b7dc178e-zillow_web_48_23.jpg,WEICHERT REALTORS - Browning,true,False,True,False,,,,,,,
2074024447,2074024447,,https://photos.zillowstatic.com/fp/0f67129440a7cafc894a87eedcc256b7-p_e.jpg,true,https://www.zillow.com/homedetails/50-Mill-Run-Rd-Fort-Ashby-WV-26719/2074024447_zpid/,FOR_SALE,Lot / Land for sale,$,"$79,900",79900,"50 Mill Run Rd, Fort Ashby, WV 26719",50 Mill Run Rd,Fort Ashby,WV,26719,False,,,,39.476717,-78.790253,False,DAYS_ON,179 days on Zillow,,,ForSale,For Sale (Broker),,False,False,False,false,,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Pioneer Ridge Realty,True,False,True,false,,,,,,
54528931,54528931,,https://photos.zillowstatic.com/fp/bb5d03e0228c9b2bfc261e3db498560c-p_e.jpg,true,https://www.zillow.com/homedetails/4980-Morgan-Dr-TRAILER-32-Blaine-WA-98230/54528931_zpid/,FOR_SALE,Home for sale,$,"$49,900",49900,"4980 Morgan Dr TRAILER 32, Blaine, WA 98230",4980 Morgan Dr TRAILER 32,Blaine,WA,98230,False,1,1,332,48.939151,-122.75267,False,DAYS_ON,214 days on Zillow,,,ForSale,For Sale (Broker),49900,False,False,False,false,,https://photos.zillowstatic.com/fp/6631fa4637aeea0746aac3f9507621d3-zillow_web_48_23.jpg,,False,False,True,false,,,,,,
57884105,57884105,,https://photos.zillowstatic.com/fp/49602753391411a8942b422d9ad5851b-p_e.jpg,true,https://www.zillow.com/homedetails/151-Burton-Rd-Beacon-Falls-CT-06403/57884105_zpid/,FOR_SALE,House for sale,$,"$280,000",280000,"151 Burton Rd, Beacon Falls, CT 06403",151 Burton Rd,Beacon Falls,CT,6403,False,3,2,1909,41.447104,-73.057546,False,DAYS_ON,8 days on Zillow,,,ForSale,For Sale (Broker),,False,False,False,false,,https://photos.zillowstatic.com/fp/93bf135fc9f9272035a2fae2b7dc178e-zillow_web_48_23.jpg,RE/MAX RISE,True,False,True,false,,,,,,
3142700,3142700,,https://photos.zillowstatic.com/fp/fc8dd0e625aa55645f81ce84baa90eee-p_e.jpg,true,https://www.zillow.com/homedetails/610-S-Ave-W-Missoula-MT-59801/3142700_zpid/,FOR_SALE,House for sale,$,"$330,000",330000,"610 S Ave W, Missoula, MT 59801",610 S Ave W,Missoula,MT,59801,False,2,1,1220,46.849111,-114.007047,False,DAYS_ON,57 days on Zillow,,,ForSale,For Sale (Broker),381500,False,False,False,false,,https://photos.zillowstatic.com/fp/32f826d2bc987ab7640b8ff296afc695-zillow_web_48_23.jpg,Ink Realty Group,True,False,True,false,,,,,Sheena Comer Winterer,
108741674,108741674,,https://photos.zillowstatic.com/fp/7bb4f45a40d0edcf0b382b266651b36f-p_e.jpg,true,https://www.zillow.com/homedetails/104-Oceanfront-Cir-N-Antioch-TN-37013/108741674_zpid/,FOR_SALE,Home for sale,$,"$229,900",229900,"104 Oceanfront Cir N, Antioch, TN 37013",104 Oceanfront Cir N,Antioch,TN,37013,False,3,2,1428,36.054649,-86.583672,False,,,,,ForSale,For Sale (Broker),,False,False,False,false,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,,False,False,True,false,,,,,,
2127718201,2127718201,,https://photos.zillowstatic.com/fp/12f80de281f2dee15be09810b244cc26-p_e.jpg,true,https://www.zillow.com/homedetails/2000-Promenade-Blvd-APT-304-Rogers-AR-72758/2127718201_zpid/,FOR_SALE,Condo for sale,$,"$394,560",394560,"2000 Promenade Blvd APT 304, Rogers, AR 72758",2000 Promenade Blvd APT 304,Rogers,AR,72758,False,1,2,1233,36.313568,-94.179822,False,DAYS_ON,139 days on Zillow,,,ForSale,For Sale (Broker),327600,False,False,False,false,,https://photos.zillowstatic.com/fp/158c1895427690e062e9be17dc3bc5ae-zillow_web_48_23.jpg,Collier & Associates-Bentonville Branch,True,False,True,false,,,,,,
31677202,31677202,10733012,https://photos.zillowstatic.com/fp/c88ab425288780615d39520f32c327c1-p_e.jpg,true,https://www.zillow.com/homedetails/112-McAllister-Ave-Syracuse-NY-13205/31677202_zpid/,FOR_SALE,Multi-family home for sale,$,"$9,000",9000,"112 McAllister Ave, Syracuse, NY 13205",112 McAllister Ave,Syracuse,NY,13205,False,6,2,2862,43.022093,-76.142466,False,DAYS_ON,11 days on Zillow,,ForSale,For Sale (Broker),,false,False,False,False,,,Listing by: Greater Syracuse Land Bank,true,False,True,False,,,,,,,
59129713,59129713,,https://photos.zillowstatic.com/fp/bc646a6c19bd75108194a7beac078670-p_e.jpg,true,https://www.zillow.com/homedetails/11-Linwood-St-Hyde-Park-MA-02136/59129713_zpid/,FOR_SALE,Multi-family home for sale,$,"$975,000",975000,"11 Linwood St, Hyde Park, MA 02136",11 Linwood St,Hyde Park,MA,2136,False,8,4,2810,42.255982,-71.126546,False,PRICE_REDUCTION,"$125,000 (Apr 12)",,,ForSale,For Sale (Broker),1011100,False,False,False,false,,,OwnerEntry.com,True,False,True,false,,,,,Dave White,
77232868,77232868,,https://photos.zillowstatic.com/fp/35ac0f7480cda5af6f2ccca2add3c0de-p_e.jpg,true,https://www.zillow.com/homedetails/706-S-Pearl-Ter-Paola-KS-66071/77232868_zpid/,FOR_SALE,House for sale,$,"$150,000",150000,"706 S Pearl Ter, Paola, KS 66071",706 S Pearl Ter,Paola,KS,66071,False,3,2,1472,38.565688,-94.879146,False,3D_HOME,3D Tour,,,ForSale,For Sale (Broker),144100,False,True,False,false,,,Keller Williams Realty Partner,True,False,True,false,,,,,,
73362035,73362035,,https://photos.zillowstatic.com/fp/4a8421bcbc8e5dabc5d6aa87713d8a0b-p_e.jpg,true,https://www.zillow.com/homedetails/7423-Olcott-Ave-Hammond-IN-46323/73362035_zpid/,FOR_SALE,House for sale,$,"$199,000",199000,"7423 Olcott Ave, Hammond, IN 46323",7423 Olcott Ave,Hammond,IN,46323,False,3,2,1632,41.578837,-87.479378,False,DAYS_ON,1 day on Zillow,,,ForSale,For Sale (Broker),185900,False,False,False,false,Listing provided by GNIAR,https://photos.zillowstatic.com/fp/0de7a95e59a730c5baf31ab2708866a6-zillow_web_48_23.jpg,Listing Leaders Prestige LLC,True,False,True,false,,,,,Barbara Micka,
37326020,37326020,,https://photos.zillowstatic.com/fp/af976be699c513c418fdaf69bf37f610-p_e.jpg,true,https://www.zillow.com/homedetails/8830-Piney-Branch-Rd-APT-907-Silver-Spring-MD-20903/37326020_zpid/,FOR_SALE,Condo for sale,$,"$190,000",190000,"8830 Piney Branch Rd APT 907, Silver Spring, MD 20903",8830 Piney Branch Rd APT 907,Silver Spring,MD,20903,False,2,2,1290,39.000453,-76.993081,False,DAYS_ON,2 days on Zillow,,,ForSale,For Sale (Broker),,False,False,False,false,,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,"Long & Foster Real Estate, Inc.",True,False,True,false,,,,,,
33177500,33177500,,https://photos.zillowstatic.com/fp/2824fb9e222c3319dd4ab3031af65af7-p_e.jpg,true,https://www.zillow.com/homedetails/1376-Dana-Dr-Oxford-OH-45056/33177500_zpid/,FOR_SALE,Multi-family home for sale,$,"$279,900",279900,"1376 Dana Dr, Oxford, OH 45056",1376 Dana Dr,Oxford,OH,45056,False,6,4,1536,39.49478,-84.758287,False,DAYS_ON,65 days on Zillow,,ForSale,For Sale (Broker),,false,False,False,False,,https://photos.zillowstatic.com/fp/24a93a3e8104474bd1cf1ccae9e2ff31-zillow_web_48_23.jpg,RE/MAX Preferred Group,true,False,True,False,,,,,,,
42500705,42500705,,https://photos.zillowstatic.com/fp/09530b3839507d948260d19872e06139-p_e.jpg,true,https://www.zillow.com/homedetails/1727-Oakridge-Way-Sevierville-TN-37876/42500705_zpid/,FOR_SALE,Multi-family home for sale,$,"$5,999,999",5999999,"1727 Oakridge Way, Sevierville, TN 37876",1727 Oakridge Way,Sevierville,TN,37876,False,22,17,11750,35.778129,-83.498811,False,DAYS_ON,11 days on Zillow,,,ForSale,For Sale (Broker),,False,False,False,false,,,,False,False,True,false,,,,,,
2077301914,2077301914,A48499,https://photos.zillowstatic.com/fp/678397ad599db57c5ca4839b990fad14-p_e.jpg,true,https://www.zillow.com/homedetails/Cedar-Grove-Rd-Arkadelphia-AR-71923/2077301914_zpid/,FOR_SALE,Lot / Land for sale,$,"$60,640",60640,"Cedar Grove Rd, Arkadelphia, AR 71923",Cedar Grove Rd,Arkadelphia,AR,71923,False,,,,34.169134,-93.104632,False,DAYS_ON,238 days on Zillow,,,ForSale,For Sale (Broker),,False,False,False,false,,,,False,False,True,false,,,,,,
85253445,85253445,,https://photos.zillowstatic.com/fp/14571f23f38918e69086c06a8c88b1b6-p_e.jpg,true,https://www.zillow.com/homedetails/1060-N-250-W-Covington-IN-47932/85253445_zpid/,FOR_SALE,House for sale,$,"$152,500",152500,"1060 N 250 W, Covington, IN 47932",1060 N 250 W,Covington,IN,47932,False,4,2,3042,40.172915,-87.314792,False,,,,,ForSale,For Sale (Broker),,False,False,False,false,,https://photos.zillowstatic.com/fp/817d2ce4213232eef9b64cb94982f6ee-zillow_web_48_23.jpg,RE/MAX Ability Plus,True,False,True,false,,,,,,
2070609888,2070609888,,https://photos.zillowstatic.com/fp/cc5cc10f2f444979aef66749e6c5020c-p_e.jpg,true,https://www.zillow.com/homedetails/4702-Brown-Drake-Cir-Tetonia-ID-83452/2070609888_zpid/,FOR_SALE,House for sale,$,"$1,399,000",1399000,"4702 Brown Drake Cir, Tetonia, ID 83452",4702 Brown Drake Cir,Tetonia,ID,83452,False,5,5,4680,43.79123,-111.107386,False,3D_HOME,3D Tour,,,ForSale,For Sale (Broker),1354400,False,True,False,false,,https://photos.zillowstatic.com/fp/d3e9c9f619cc98899898ab0ca18ee130-zillow_web_48_23.jpg,"Jackson Hole Real Estate Associates, LLC",True,False,True,false,,,,,,
16564449,16564449,,https://photos.zillowstatic.com/fp/1c8b8a12b90768870a611d18743a29e9-p_e.jpg,true,https://www.zillow.com/homedetails/1182-Via-Zancas-Fallbrook-CA-92028/16564449_zpid/,FOR_SALE,House for sale,$,"$518,000",518000,"1182 Via Zancas, Fallbrook, CA 92028",1182 Via Zancas,Fallbrook,CA,92028,False,4,2,2141,33.397311,-117.210588,False,DAYS_ON,1 day on Zillow,,,ForSale,For Sale (Broker),767800,False,False,False,false,,,Skye Realty Group,True,False,True,false,,,,,,
2085146182,2085146182,,https://photos.zillowstatic.com/fp/e4814ff852e2fc9a529f5f48a6913a54-p_e.jpg,true,https://www.zillow.com/homedetails/83737-N-Bank-Ln-Bandon-OR-97411/2085146182_zpid/,FOR_SALE,Active,$,"$1,390,000",1390000,"83737 N Bank Ln, Bandon, OR 97411",83737 N Bank Ln,Bandon,OR,97411,False,3,2,2250,43.159599,-124.376744,False,DAYS_ON,289 days on Zillow,,,ForSale,For Sale (Broker),1341300,False,False,False,false,,https://photos.zillowstatic.com/fp/ca2b2c15d6ee43b55a1e33dfdfd6a14f-zillow_web_48_23.jpg,"Gold Coast Properties, Inc.",True,False,True,false,,,,,,
84755648,84755648,,https://photos.zillowstatic.com/fp/5c52b7147219a1d2682c118af3f0ce54-p_e.jpg,true,https://www.zillow.com/homedetails/2243-NW-Moraine-Pl-Issaquah-WA-98027/84755648_zpid/,FOR_SALE,Townhouse for sale,$,"$615,000",615000,"2243 NW Moraine Pl, Issaquah, WA 98027",2243 NW Moraine Pl,Issaquah,WA,98027,False,2,3,1240,47.532258,-122.072876,False,OPEN_HOUSE,Open: Sun. 1-3pm,,,ForSale,For Sale (Broker),619000,False,True,False,false,,https://photos.zillowstatic.com/fp/6631fa4637aeea0746aac3f9507621d3-zillow_web_48_23.jpg,,False,False,True,false,true,2021-06-27T13:00:00,2021-06-27T15:00:00,Open House - 1:00 - 3:00 PM,,
2069991779,2069991779,,https://photos.zillowstatic.com/fp/d5b57c5ecf3245b2a61f99c32d4609be-p_e.jpg,true,https://www.zillow.com/homedetails/14151-Montfort-Dr-APT-216-Dallas-TX-75254/2069991779_zpid/,FOR_SALE,Condo for sale,$,"$215,000",215000,"14151 Montfort Dr APT 216, Dallas, TX 75254",14151 Montfort Dr APT 216,Dallas,TX,75254,False,2,2,1336,32.940739,-96.814344,False,DAYS_ON,4 days on Zillow,,,ForSale,For Sale (Broker),215300,False,False,False,false,,,,False,False,True,false,,,,,,
113499807,113499807,,https://photos.zillowstatic.com/fp/2ab7fb375b3af9d19e6297e16b3bbfc5-p_e.jpg,true,https://www.zillow.com/homedetails/303-W-Ohio-St-APT-2606-Chicago-IL-60654/113499807_zpid/,FOR_SALE,New,$,"$480,000",480000,"303 W Ohio St APT 2606, Chicago, IL 60654",303 W Ohio St APT 2606,Chicago,IL,60654,False,2,2,,41.892124,-87.636064,False,,,,ForSale,For Sale (Broker),,false,False,False,False,MRED as distributed by MLS GRID,https://photos.zillowstatic.com/fp/1b0fc53ffc89ea17e1e382976aca4421-zillow_web_48_23.jpg,@properties,true,False,True,False,,,,,,,
37667941,37667941,,https://photos.zillowstatic.com/fp/7979dedf88c980687e1fcb18e89076c9-p_e.jpg,true,https://www.zillow.com/homedetails/327-Frederick-St-Hagerstown-MD-21740/37667941_zpid/,FOR_SALE,House for sale,$,"$224,900",224900,"327 Frederick St, Hagerstown, MD 21740",327 Frederick St,Hagerstown,MD,21740,False,3,2,1516,39.633426,-77.717626,False,DAYS_ON,2 days on Zillow,,,ForSale,For Sale (Broker),224900,False,False,False,false,,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,"CES Properties, LLC.",True,False,True,false,,,,,,
2070062022,2070062022,,https://photos.zillowstatic.com/fp/f01b3f240e64fdab98903db740d6eb9f-p_e.jpg,true,https://www.zillow.com/homedetails/0-Highway-101-Ilwaco-WA-98624/2070062022_zpid/,FOR_SALE,Lot / Land for sale,$,"$28,000",28000,"0 Highway 101, Ilwaco, WA 98624",0 Highway 101,Ilwaco,WA,98624,False,,,,46.304094,-123.966966,False,DAYS_ON,6 days on Zillow,,,ForSale,For Sale (Broker),,False,False,False,false,,https://photos.zillowstatic.com/fp/6631fa4637aeea0746aac3f9507621d3-zillow_web_48_23.jpg,,False,False,True,false,,,,,,
2099799579,2099799579,,https://photos.zillowstatic.com/fp/7b920e1c6f25e82b77c47279d8ea2ed1-p_e.jpg,true,https://www.zillow.com/homedetails/Geneva-Golf-Club-Dr-NE-Alexandria-MN-56308/2099799579_zpid/,FOR_SALE,Lot / Land for sale,$,"$39,900",39900,"Geneva Golf Club Dr NE, Alexandria, MN 56308",Geneva Golf Club Dr NE,Alexandria,MN,56308,False,,,,45.900288,-95.31633,False,,,,ForSale,For Sale (Broker),,false,False,False,False,,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,"Edina Realty, Inc.",true,False,True,False,,,,,,,
